feature,importance
annuity_780A,170.3404626949921
days360_512L,165.1324443936737
price_1097A,162.68681621541796
pmtssum_45A,155.42114960992365
pmtnum_254L,153.81504593532614
lastcancelreason_561M,133.3722020498997
credamount_770A,127.31786163662834
totalsettled_863A,123.10439765407467
thirdquarter_1082L,118.8295362872925
lastapprcommoditycat_1041M,116.52229161151281
maxannuity_159A,112.45997923884164
days180_256L,111.84117863295235
disbursedcredamount_1113A,111.52852859994245
secondquarter_766L,110.52635886225885
fourthquarter_440L,109.73685606745943
eir_270L,109.64995681435072
maininc_215A,108.90074623712447
firstquarter_103L,108.11110507175131
mobilephncnt_593L,107.43537110389995
MONTH,101.69776963826205
pmtaverage_3A,98.99491760784292
lastrejectcommoditycat_161M,93.57699695103572
applicationscnt_867L,92.71348220983872
lastrejectcredamount_222A,92.57631918501022
numinstlswithdpd10_728L,91.6675800363048
lastapprcredamount_781A,88.8726353075084
pctinstlsallpaidlate1d_3546856L,86.14938548834321
maxdebt4_972A,85.98125013792573
numincomingpmts_3546848L,79.00677267119667
pmtaverage_4527227A,77.08526584733424
maxinstallast24m_3658928A,77.07620313798421
pmtscount_423L,76.05251353630267
avginstallast24m_3658937A,74.88718337208441
mindbddpdlast24m_3658935P,72.41366878379634
days90_310L,72.37217213641267
monthsannuity_845L,71.21278336887933
numrejects9m_859L,71.17745972697405
maxdbddpdlast1m_3658939P,70.06340542381143
inittransactionamount_650A,68.80370819493308
education_1103M,68.24368938413738
cntpmts24_3658933L,67.22407227736448
pctinstlsallpaidearl3d_427L,67.01323443722931
cntincpaycont9m_3716944L,64.00845612542672
lastrejectreason_759M,63.69984785939715
maritalst_385M,62.71249700221239
amtinstpaidbefduel24m_4187115A,62.25099833850401
maxoutstandbalancel12m_4187113A,61.52532309570706
days120_123L,60.886000721403285
maxdpdlast24m_143P,58.471446164304915
maxdpdtolerance_374P,57.87274215973709
currdebt_22A,57.74814196830021
avgoutstandbalancel6m_4187114A,57.106937230853354
daysoverduetolerancedd_3976961L,55.86929038668228
days30_165L,55.8360804687999
numinsttopaygr_769L,55.42345124157104
avgdbddpdlast3m_4187120P,52.97407560362901
contractssum_5085716L,52.79264501564517
maxdbddpdtollast12m_3658940P,52.59288773731371
isbidproduct_1095L,50.669854861007906
avgdbddpdlast24m_3658932P,50.39390105817261
maxdpdinstlnum_3546846P,49.84897961357868
requesttype_4525192L,49.37698838936637
numinstregularpaid_973L,48.71727083411309
pctinstlsallpaidlat10d_839L,48.26670986499948
avgdpdtolclosure24_3658938P,48.10168671941576
maxdpdfrom6mto36m_3546853P,47.38416180554418
numinstunpaidmax_3546851L,47.23128239862814
numinstlswithoutdpd_562L,46.846595560033876
numinstpaidlate1d_3546852L,45.900147144065556
