factor,lasso_coef_std,selected
SKEW,0.007031246921065845,True
betaSkew,0.00682829155012984,True
CIV,-0.0,False
TSCALL,0.0,False
betaJump,0.0,False
betaTSPUT,0.0,False
betaTSCALL,-0.0,False
betaIVSOTM,0.0,False
betaVRP,-0.0,False
betaVIX,-0.0,False
O_S,0.0,False
VOV,0.0,False
dTSPUT,-0.0,False
dTSCALL,0.0,False
TSPUT,-0.0,False
KT,-0.0,False
PIV,-0.0,False
VRP,-0.0,False
VAR_MINUS,-0.0,False
VAR_PLUS,-0.0,False
VARQ,-0.0,False
AVAR,0.0,False
dIVS_OTM,0.0,False
dIVS_ATM,-0.0,False
IVS_OTM,0.0,False
IVS_ATM,0.0,False
dPIV,0.0,False
dCIV,0.0,False
betaVol,0.0,False
